frame,fps,particle_count
0,36.45151,0
1,25.571995,1
2,24.150421,1
3,23.510618,2
4,23.071743,2
5,22.657957,2
6,22.623772,2
7,23.143456,2
8,23.758148,2
9,24.305317,2
10,24.943197,2
11,25.723328,2
12,26.468246,2
13,27.224382,2
14,27.985233,2
15,28.743574,2
16,29.54399,2
17,30.366718,2
18,31.15845,2
19,31.925062,2
20,32.719357,2
21,33.504837,2
22,34.23622,2
23,34.984467,2
24,35.70792,2
25,36.44619,2
26,37.205826,2
27,37.950436,2
28,38.693317,2
29,39.490868,2
30,40.143147,2
31,40.63587,2
32,41.284092,2
33,41.959045,2
34,42.497482,2
35,43.195663,2
36,43.800705,2
37,44.43592,2
38,44.911163,2
39,45.300003,2
40,45.89151,2
41,46.332268,2
42,46.804447,3
43,47.224377,3
44,47.70335,3
45,48.265102,3
46,48.83824,3
47,49.295605,3
48,49.83839,3
49,50.344116,3
50,50.809864,3
51,51.230667,3
52,51.724304,3
53,51.94139,3
54,52.261387,4
55,52.52275,4
56,52.875084,5
57,53.32749,5
58,51.329735,5
59,50.06404,5
60,50.641758,5
61,50.868378,5
62,51.377594,5
63,51.721474,5
64,52.1118,5
65,52.55182,5
66,52.72544,5
67,53.020863,6
68,53.21301,6
69,53.471287,6
70,53.83271,6
71,54.171623,6
72,54.202255,6
73,54.335464,6
74,54.63998,6
75,53.155872,6
76,52.80516,6
77,53.157135,6
78,53.518055,6
79,53.919075,6
80,54.29615,6
81,54.714527,6
82,54.923252,6
83,54.896217,6
84,55.08539,6
85,55.196964,6
86,55.49302,6
87,55.70444,6
88,56.03308,6
89,56.151146,6
90,56.370033,6
91,56.5886,6
92,56.766563,6
93,57.09857,6
94,57.21283,6
95,57.238583,6
96,57.32154,6
97,57.416332,6
98,57.51309,6
99,57.66752,6
100,56.796497,6
101,56.83543,6
102,56.855625,6
103,56.8201,6
104,56.92477,6
105,57.10921,6
106,57.064983,6
107,57.176804,6
108,57.161495,6
109,57.28737,6
110,57.43244,6
111,57.373363,6
112,57.530754,6
113,57.645554,6
114,57.90116,6
115,58.011284,6
116,58.10493,6
117,58.16841,6
118,58.286392,6
119,58.30978,6
120,58.2884,6
121,58.487892,6
122,58.615555,6
123,58.46209,6
124,58.545086,6
125,58.658096,6
126,58.638664,6
127,58.656254,6
128,58.53824,6
129,58.716362,6
130,58.905754,6
131,58.96438,6
132,59.19322,6
133,59.017532,6
134,59.028152,6
135,59.16172,6
136,59.142776,6
137,59.00684,6
138,59.125732,6
139,58.942135,6
140,59.058437,6
141,58.893253,6
142,58.75645,6
143,58.864338,6
144,58.95547,6
145,59.120445,6
146,59.328293,6
147,59.45886,6
148,59.55713,6
149,59.650726,6
150,59.580414,6
151,59.52856,6
152,59.41148,6
153,59.418728,6
154,59.576763,6
155,59.46268,6
156,59.25262,6
157,59.274727,6
158,59.433765,6
159,59.7025,6
160,59.438484,6
161,59.46835,6
162,59.20513,7
163,59.29987,7
164,59.317635,7
165,59.443924,7
166,59.466377,7
167,59.331448,7
168,59.394894,7
169,59.264023,7
170,59.048832,7
171,59.031128,7
172,58.900227,7
173,59.144478,7
174,59.26097,7
175,59.265186,7
176,59.31275,7
177,59.353317,7
178,59.565536,7
179,59.662186,7
180,59.747017,7
181,59.922005,7
182,60.00294,7
183,60.15981,7
184,60.21742,7
185,59.963757,7
186,59.834404,7
187,59.733753,7
188,59.586163,7
189,59.425217,7
190,59.46279,8
191,59.410427,8
192,59.520805,8
193,59.617798,8
194,59.661564,8
195,59.632282,8
196,59.608936,8
197,59.681885,8
198,59.785843,8
199,59.61432,8
200,59.68965,8
201,59.608627,8
202,59.485966,8
203,59.702583,8
204,59.758194,8
205,59.835423,8
206,59.92707,8
207,59.875057,8
208,59.88255,8
209,59.932053,8
210,59.884705,8
211,60.102566,8
212,60.125107,8
213,60.038128,8
214,60.00791,8
215,59.966064,8
216,59.76793,8
217,59.85679,8
218,59.8303,8
219,59.741318,8
220,59.8393,8
221,59.7643,8
222,59.812626,8
223,59.946484,8
224,60.060482,8
225,59.97472,8
226,59.995186,8
227,59.983162,8
228,59.97184,8
229,59.91748,8
230,59.921494,8
231,59.981544,8
232,59.758644,8
233,59.63933,8
234,59.531612,8
235,59.430454,8
236,59.357384,8
237,59.26364,8
238,59.276295,8
239,59.324047,8
240,59.266396,8
241,59.181534,8
242,59.28485,8
243,59.22423,8
244,59.241184,8
245,59.17292,8
246,59.25425,8
247,59.437614,8
248,59.32169,8
249,59.184387,8
250,59.17266,8
251,59.421085,8
252,59.102867,8
253,59.63556,8
254,59.378838,8
255,59.615368,8
256,59.61858,8
257,59.60225,8
258,59.63094,9
259,59.750813,9
260,59.708138,9
261,59.81164,9
262,59.752712,9
263,59.639153,9
264,59.68949,9
265,59.75617,9
266,59.57357,9
267,59.85483,9
268,59.744305,9
269,59.661053,9
270,59.660297,9
271,59.735275,9
272,59.69323,9
273,59.779957,9
274,59.709053,9
275,59.662952,9
276,59.68103,9
277,59.730057,9
278,59.837322,9
279,59.897144,9
280,60.113228,9
281,60.155827,9
282,60.24952,9
283,60.45964,9
284,60.53713,9
285,60.54282,9
286,60.760864,9
287,60.691822,9
288,60.46972,9
289,60.46666,9
290,60.216225,9
291,60.14681,9
292,60.050922,9
293,60.020767,9
294,60.01154,9
295,60.090527,9
296,59.94877,9
297,59.853493,9
298,60.002388,9
299,59.930717,9
300,59.860962,9
301,60.066353,9
302,60.12998,9
303,60.27566,9
304,60.282936,9
305,60.23398,9
306,60.38521,9
307,60.38011,9
308,60.257633,9
309,60.30754,9
310,60.259663,9
311,60.240166,9
312,60.20878,9
313,60.304825,9
314,60.16108,9
315,60.13253,9
316,60.16884,9
317,60.21676,9
318,60.125862,9
319,60.239975,9
320,60.137875,9
321,60.203102,9
322,60.13758,9
323,60.17725,9
324,60.105034,9
325,60.19978,9
326,60.085014,9
327,60.018322,9
328,60.045395,9
329,60.029804,9
330,60.131485,9
331,60.28108,9
332,60.140797,9
333,60.10242,9
334,60.352654,9
335,60.224922,9
336,60.107037,9
337,60.022232,9
338,60.104565,9
339,60.119003,9
340,60.235622,9
341,60.2963,9
342,60.445103,9
343,60.448784,9
344,60.525127,9
345,60.53065,9
346,60.638786,10
347,60.826332,10
348,60.7956,10
349,60.85873,10
350,60.907505,10
351,61.09352,10
352,60.957253,10
353,60.980175,10
354,61.08026,10
355,61.034466,10
356,60.979656,11
357,61.16999,11
358,60.99327,11
359,61.07685,11
360,61.066723,11
361,61.106255,11
362,61.033978,11
363,61.14467,11
364,61.253235,11
365,61.345387,11
366,61.27726,11
367,61.08228,11
368,61.060436,11
369,61.22433,11
370,61.23764,11
371,61.250835,11
372,61.25594,11
373,61.09844,11
374,60.923794,11
375,61.00052,11
376,60.978817,11
377,60.554337,11
378,60.832558,11
379,61.05417,11
380,60.97771,11
381,61.067017,11
382,61.08625,11
383,61.13314,12
384,60.89507,12
385,61.105705,12
386,61.108963,12
387,60.790314,12
388,60.78229,12
389,60.50114,13
390,60.30502,13
391,59.929672,13
392,59.98736,13
393,59.783344,14
394,59.250137,14
395,59.066727,14
396,58.838715,14
397,58.46719,14
398,57.869263,14
399,57.736824,14
400,57.588764,14
401,57.08663,14
402,57.153706,14
403,56.871025,14
404,56.518803,14
405,55.908234,14
406,55.8243,14
407,55.539436,14
408,55.661667,14
409,55.721676,14
410,55.903824,14
411,55.80549,14
412,56.044796,14
413,56.072456,14
414,55.829735,14
415,56.013348,14
416,56.21675,14
417,56.093906,14
418,56.054043,14
419,56.319096,14
420,56.191387,14
421,56.184326,14
422,56.192497,14
423,56.15932,14
424,52.22171,14
425,51.9054,14
426,52.065247,14
427,51.850857,14
428,51.936676,14
429,51.999622,14
430,51.94719,14
431,51.75133,14
432,51.953136,14
433,52.09985,14
434,52.472355,14
435,52.46809,14
436,52.75376,14
437,52.877308,14
438,53.168606,14
439,53.08239,14
440,53.265007,14
441,53.40204,14
442,53.608658,14
443,53.56331,14
444,53.92494,14
445,54.204628,14
446,54.27925,15
447,54.065506,15
448,54.20998,15
449,54.34001,15
450,54.439167,15
451,54.407913,15
452,54.494034,15
453,54.62519,15
454,54.481693,15
455,54.540737,15
456,54.62873,15
457,54.754383,15
458,51.240536,15
459,49.680885,15
460,49.742275,15
461,49.943054,15
462,49.803196,15
463,49.937744,15
464,49.960407,15
465,50.080276,15
466,50.166073,15
467,50.2992,15
468,50.551292,15
469,50.614273,15
470,50.80426,15
471,51.085323,15
472,50.93154,15
473,50.757748,15
474,50.71174,15
475,50.8116,15
476,50.456856,15
477,50.50089,15
478,50.551918,15
479,50.74971,15
480,50.564415,15
481,50.37486,15
482,50.478687,15
483,50.67932,15
484,50.597862,15
485,50.705112,15
486,50.857628,15
487,51.017925,15
488,51.01495,15
489,51.27679,15
490,51.4607,15
491,51.35374,15
492,51.50753,15
493,51.670353,15
494,51.801395,15
495,51.800247,15
496,51.630184,15
497,51.892254,15
498,52.11549,15
499,52.111214,15
500,52.30965,15
501,52.506924,15
502,52.514706,15
503,52.755947,15
504,52.903164,15
505,53.1004,15
506,53.12261,15
507,53.10355,15
508,53.281956,15
509,53.407986,15
510,53.18852,15
511,52.791164,15
512,52.449562,15
513,52.322426,15
514,52.369614,15
515,52.37695,15
516,52.39563,15
517,52.194202,15
518,52.29585,15
519,52.188217,15
520,52.24064,15
521,52.19385,15
522,52.32728,15
523,52.294773,15
524,51.747517,15
525,51.87407,15
526,51.874695,15
527,51.949986,13
528,52.040344,13
529,52.22739,14
530,52.507587,14
531,52.761497,14
532,52.742607,14
533,52.044857,14
534,51.57012,14
535,51.745655,14
536,51.747276,14
537,52.096664,14
538,52.230938,14
539,52.321804,14
540,52.24983,14
541,52.45375,14
542,52.506886,14
543,52.548565,14
544,52.45838,14
545,52.653214,14
546,52.883026,14
547,53.07953,14
548,52.94141,14
549,53.116257,14
550,53.10762,14
551,53.215286,14
552,53.173523,14
553,53.213703,14
554,53.41155,14
555,53.55454,14
556,53.457233,14
557,53.721966,14
558,53.8393,14
559,53.790833,14
560,53.512848,14
561,53.43625,14
562,53.25886,14
563,53.203552,14
564,53.16517,14
565,53.189857,14
566,52.615032,14
567,52.036224,14
568,51.994442,14
569,52.033024,15
570,51.857285,15
571,51.534874,15
572,51.366158,15
573,51.337467,15
574,50.97745,15
575,50.70478,15
576,50.869717,15
577,51.185287,15
578,51.40957,15
579,51.541485,15
580,51.84717,15
581,52.199013,11
582,52.633484,11
583,53.03679,11
584,53.421772,11
585,53.850273,11
586,54.18286,11
587,54.50219,11
588,54.775394,11
589,54.984035,11
590,55.314373,11
591,55.444103,11
592,55.622986,11
593,55.82659,11
594,56.134544,11
595,56.517807,11
596,56.63802,11
597,56.857903,11
598,57.13161,11
599,57.267017,11
600,57.442413,11
601,57.666367,11
602,57.92105,11
603,58.054035,11
604,58.250465,11
605,58.57552,11
606,58.60885,11
607,58.95079,11
608,59.110756,11
609,59.19614,11
610,59.378307,11
611,59.554012,11
612,59.53429,11
613,59.618877,11
614,59.654346,11
615,59.650932,11
616,59.718338,11
617,59.69244,11
618,59.77747,11
619,59.87004,12
620,59.40922,12
621,59.64129,12
622,59.656803,12
623,59.78545,12
624,59.90352,12
625,59.847275,12
626,59.85402,12
627,59.798885,13
628,59.886543,13
629,59.790817,13
630,59.856487,13
631,59.95356,13
632,60.084244,13
633,59.919373,13
634,60.064987,13
635,60.228226,13
636,60.187515,13
637,59.93692,13
638,60.074368,13
639,60.27051,13
640,60.391376,13
641,59.96538,13
642,60.1125,13
643,60.03296,13
644,60.013416,13
645,60.11473,13
646,59.939316,13
647,59.9903,13
648,60.05291,13
649,60.219322,13
650,60.07808,13
651,60.25297,13
652,60.390587,13
653,59.98402,13
654,59.820892,13
655,59.80147,13
656,59.931923,13
657,59.983322,13
658,59.84556,13
659,59.89875,13
660,60.066223,13
661,60.211754,13
662,59.964413,13
663,60.13378,13
664,60.321026,13
665,59.145275,13
666,58.60994,13
667,58.44598,13
668,57.598003,13
669,57.026646,13
670,56.80206,13
671,57.024197,13
672,57.212757,13
673,57.384907,13
674,57.63911,13
675,57.666477,13
676,57.8995,13
677,58.15594,13
678,58.269073,13
679,58.381187,11
680,58.564133,11
681,58.710377,11
682,58.764896,11
683,58.842743,11
684,59.084064,11
685,59.152054,11
686,59.22853,12
687,59.447773,12
688,59.458927,12
689,59.479637,12
690,59.540375,12
691,59.562443,12
692,59.601215,12
693,59.658733,12
694,59.783527,12
695,59.88946,12
696,60.017582,12
697,59.9296,13
698,60.06018,13
699,60.111893,13
700,60.253246,13
701,60.078575,13
702,60.329876,13
703,60.371822,13
704,60.443497,13
705,60.256706,13
706,60.297997,13
707,60.247643,13
708,60.338394,13
709,60.148094,13
710,60.278,13
711,60.34855,13
712,60.379124,13
713,60.09021,13
714,60.175602,13
715,60.09006,14
716,60.05803,14
717,59.80232,14
718,59.44349,14
719,58.99432,14
720,58.980354,14
721,58.65812,14
722,58.652233,14
723,58.53975,14
724,58.377655,14
725,58.062702,14
726,58.109737,14
727,58.130123,14
728,58.21741,14
729,57.909214,14
730,58.02225,14
731,58.15617,14
732,58.285133,14
733,58.122684,14
734,58.388115,14
735,58.451187,14
736,58.645447,14
737,58.338737,14
738,58.135147,14
739,58.191093,14
740,58.303596,14
741,58.182545,14
742,58.27848,14
743,58.3194,14
744,58.394875,14
745,58.336956,14
746,58.367744,14
747,58.489765,14
748,58.054317,14
749,58.092304,14
750,58.164486,14
751,58.28732,14
752,58.10888,14
753,58.245583,14
754,58.374226,14
755,58.46918,14
756,58.276714,14
757,58.366867,14
758,58.49055,14
759,58.61789,14
760,58.446457,14
761,58.51806,14
762,58.60725,14
763,58.67946,14
764,58.496407,14
765,58.462128,14
766,58.538128,14
767,58.341915,15
768,57.972813,15
769,57.72504,15
770,57.68156,15
771,57.620293,15
772,57.179016,15
773,57.026733,15
774,56.930557,15
775,56.62329,15
776,56.479855,15
777,56.355167,15
778,56.11453,15
779,55.800594,15
780,55.716038,15
781,55.690205,15
782,55.698135,15
783,55.312355,15
784,55.259068,15
785,55.165257,15
786,54.941273,15
787,54.934383,15
788,54.99042,15
789,54.951065,15
790,54.66078,15
791,54.664017,15
792,54.69793,15
793,54.463314,15
794,54.356174,15
795,54.39885,15
796,54.510216,15
797,54.190773,15
798,54.150925,15
799,54.16463,15
800,54.086494,15
801,53.84071,15
802,53.88365,15
803,53.85171,15
804,53.824745,15
805,53.392334,16
806,53.238518,16
807,53.153313,16
808,52.883305,16
809,52.925865,16
810,52.91056,16
811,52.820896,16
812,52.603165,16
813,52.659218,16
814,52.620537,16
815,52.38162,16
816,52.35351,16
817,52.24767,16
818,51.993885,16
819,51.666782,16
820,51.647957,16
821,51.568405,16
822,51.356956,16
823,51.422253,16
824,51.497704,16
825,51.488033,16
826,51.14803,16
827,51.086212,16
828,51.144672,16
829,50.99119,16
830,51.10952,16
831,51.124973,16
832,51.127808,16
833,51.023468,16
834,51.081604,16
835,51.22689,16
836,51.112423,16
837,51.059265,16
838,51.193764,16
839,51.31253,16
840,51.2157,16
841,51.262455,16
842,51.29961,16
843,51.0118,16
844,50.829975,16
845,50.864296,16
846,50.9701,16
847,50.772797,16
848,50.844635,16
849,50.765434,16
850,50.736794,16
851,50.842987,16
852,50.99592,16
853,51.007305,16
854,50.51775,15
855,50.73413,15
856,50.964046,15
857,51.180912,15
858,51.176605,15
859,51.366165,15
860,51.513683,15
861,51.531147,15
862,51.722775,15
863,51.75959,15
864,51.875538,15
865,51.699627,15
866,51.831684,15
867,51.95519,15
868,52.00829,15
869,51.388123,15
870,51.554005,15
871,51.646214,15
872,51.436596,15
