frame,fps,particle_count
0,34.603363,0
1,24.032307,1
2,23.850588,2
3,23.905142,2
4,24.360086,2
5,24.818684,2
6,25.47003,2
7,26.193918,2
8,26.947495,2
9,27.7521,2
10,28.521149,2
11,29.294416,2
12,30.033005,2
13,30.806713,2
14,31.549921,2
15,32.324432,2
16,33.058132,2
17,33.806145,2
18,34.609043,2
19,35.305954,2
20,35.959263,2
21,36.66881,2
22,37.284313,2
23,37.860165,2
24,38.564575,2
25,39.223858,2
26,39.9064,2
27,40.530266,2
28,41.1174,2
29,41.774235,2
30,42.46184,2
31,43.136463,2
32,43.74001,2
33,44.304264,2
34,44.897602,2
35,45.415848,2
36,45.70871,2
37,45.92557,2
38,46.21273,2
39,46.603275,2
40,46.97122,2
41,47.500874,2
42,48.04454,2
43,48.505615,2
44,48.57119,2
45,49.011623,2
46,49.370754,2
47,49.658085,2
48,50.14993,2
49,50.564465,3
50,50.720757,3
51,51.220757,3
52,51.6406,3
53,51.94125,3
54,52.373337,3
55,52.475708,3
56,52.806965,3
57,52.985394,3
58,53.22824,3
59,53.693283,3
60,53.647293,3
61,53.5856,4
62,53.875214,4
63,53.916306,5
64,54.127304,5
65,54.073936,5
66,54.32771,5
67,54.18199,5
68,54.18253,5
69,54.41441,5
70,54.61674,5
71,54.84822,5
72,54.966312,5
73,54.793076,5
74,55.068012,5
75,55.398838,6
76,55.701885,6
77,55.401794,6
78,55.570305,6
79,55.51596,6
80,55.29665,6
81,55.29533,6
82,55.560802,6
83,55.747665,6
84,56.016003,6
85,55.99783,6
86,56.247917,6
87,56.34484,6
88,56.490685,6
89,56.333794,6
90,56.655704,6
91,56.721615,6
92,56.650867,6
93,56.604755,6
94,56.6959,6
95,56.774876,6
96,56.917686,6
97,57.060764,6
98,57.258156,6
99,57.33926,6
100,57.402744,6
101,57.337376,6
102,57.400814,6
103,57.544376,6
104,57.65923,6
105,57.86348,6
106,57.942547,6
107,58.09272,6
108,58.150654,6
109,57.984756,6
110,57.747486,6
111,57.556683,6
112,57.4123,6
113,57.313206,6
114,57.524708,6
115,57.794884,6
116,57.950203,6
117,57.9129,6
118,57.73698,6
119,57.58941,6
120,57.33315,6
121,57.01386,6
122,57.24833,6
123,57.30605,6
124,57.373795,6
125,57.591694,6
126,57.735016,6
127,58.00016,6
128,57.881134,6
129,58.01024,6
130,58.093212,6
131,58.18741,6
132,58.33259,6
133,58.346992,6
134,58.433464,6
135,58.514576,6
136,58.5953,6
137,58.65564,6
138,58.735424,6
139,58.671894,6
140,58.907223,6
141,59.04629,6
142,59.08302,6
143,58.996212,6
144,59.05868,6
145,59.125286,6
146,59.211273,6
147,59.231186,6
148,59.200577,6
149,59.285122,6
150,59.316856,6
151,59.316982,6
152,59.36321,6
153,59.38105,6
154,59.481915,6
155,59.504517,6
156,59.47366,6
157,59.496853,6
158,59.40428,6
159,59.20736,6
160,59.26872,6
161,59.31721,6
162,59.35099,6
163,59.387074,6
164,59.45396,6
165,59.36295,6
166,59.189087,6
167,59.20111,6
168,59.317352,6
169,59.389587,6
170,59.165016,7
171,58.77523,7
172,58.58487,7
173,58.66061,7
174,58.332733,7
175,58.361507,7
176,58.29753,7
177,58.242226,7
178,58.23755,7
179,58.37147,7
180,58.587296,7
181,58.4241,7
182,58.208073,7
183,58.432972,7
184,58.57453,7
185,58.269066,7
186,58.39432,7
187,58.486473,7
188,58.38524,7
189,58.498177,7
190,58.531147,7
191,58.3602,7
192,58.16318,7
193,57.874485,7
194,57.52578,8
195,57.70378,8
196,57.63779,8
197,57.72987,8
198,57.971344,8
199,58.098663,8
200,58.075714,8
201,58.25148,8
202,58.22963,8
203,58.297676,8
204,58.407585,8
205,58.28192,8
206,58.51685,8
207,58.738773,8
208,58.79457,8
209,59.008816,8
210,58.76579,8
211,58.823673,8
212,58.965477,8
213,59.05534,8
214,58.973595,8
215,59.071453,8
216,59.233646,8
217,58.75463,8
218,58.45861,8
219,58.33823,8
220,58.067776,8
221,58.05187,8
222,58.25841,8
223,58.27391,8
224,58.353077,8
225,58.49021,8
226,58.534843,8
227,58.596275,8
228,58.708748,8
229,58.744507,8
230,58.842155,8
231,59.10287,8
232,58.930084,8
233,58.99212,8
234,59.052227,8
235,59.031425,8
236,59.08335,8
237,59.12229,8
238,59.17766,8
239,59.075375,8
240,59.024765,8
241,58.659634,8
242,58.546883,8
243,58.463165,8
244,58.04514,8
245,58.207764,8
246,58.307438,8
247,58.329082,8
248,58.308674,8
249,58.1026,8
250,58.255184,8
251,58.41912,8
252,57.541702,8
253,58.1026,8
254,57.815994,8
255,57.677216,8
256,57.83516,8
257,57.97729,8
258,58.04113,8
259,58.00046,8
260,57.947567,8
261,57.79318,8
262,57.474583,8
263,57.311638,8
264,57.110497,9
265,57.38064,9
266,57.183704,9
267,56.936497,9
268,56.909378,9
269,56.920963,9
270,56.803886,9
271,57.003834,9
272,57.13799,9
273,57.155888,9
274,57.28949,9
275,57.43989,9
276,57.39205,9
277,57.464348,9
278,57.34368,9
279,57.534145,9
280,57.811768,9
281,58.0347,9
282,58.056473,9
283,58.23598,9
284,58.42705,9
285,58.205555,9
286,57.858116,9
287,57.877438,9
288,57.64908,9
289,57.372368,9
290,57.19728,9
291,57.004654,9
292,57.09784,9
293,57.229588,9
294,56.974854,9
295,56.8994,9
296,57.13662,9
297,57.388348,9
298,57.462013,9
299,57.512054,9
300,57.690445,9
301,57.721745,9
302,57.8889,9
303,57.93543,9
304,58.15732,9
305,58.059307,9
306,58.313747,9
307,58.014854,9
308,58.146996,9
309,57.961334,9
310,57.59129,9
311,57.645836,9
312,57.52239,9
313,57.689617,9
314,57.36528,9
315,57.17737,9
316,57.37344,9
317,57.263653,9
318,57.45459,9
319,57.185375,9
320,57.17368,9
321,57.130875,9
322,57.34041,9
323,57.453465,9
324,57.698048,9
325,57.697285,9
326,57.792538,9
327,57.955406,9
328,57.998535,9
329,58.08558,9
330,58.188137,9
331,58.334644,9
332,58.35582,9
333,58.45044,9
334,58.384052,9
335,58.365883,9
336,58.13088,9
337,58.279976,9
338,58.160892,9
339,58.404144,9
340,58.589325,9
341,58.717434,9
342,58.639214,9
343,58.566257,9
344,58.32074,9
345,58.146133,9
346,58.19181,9
347,58.103737,10
348,58.18853,10
349,57.820965,10
350,57.63485,10
351,57.559334,10
352,57.626675,10
353,57.571945,10
354,57.44966,10
355,57.35214,10
356,57.482426,10
357,57.610428,11
358,57.774033,11
359,57.871944,11
360,58.175972,11
361,58.342888,11
362,58.360065,11
363,58.550972,11
364,58.49615,11
365,58.517242,11
366,58.642467,11
367,58.644554,11
368,58.84548,11
369,58.79089,11
370,58.92602,11
371,58.979527,11
372,58.89688,11
373,59.08673,11
374,58.92405,11
375,59.139027,11
376,59.204998,11
377,59.263763,11
378,59.209415,11
379,59.23224,11
380,59.120625,11
381,59.037895,11
382,58.698246,11
383,58.962673,12
384,58.68325,12
385,58.775223,12
386,58.56204,12
387,58.643417,12
388,58.464737,12
389,58.52808,13
390,58.55309,14
391,58.388687,14
392,58.623165,14
393,58.27342,14
394,58.10644,14
395,58.190334,14
396,58.130207,14
397,58.332333,14
398,58.353024,14
399,58.252674,14
400,58.498875,14
401,58.18407,14
402,58.14355,14
403,58.190456,14
404,58.343185,14
405,58.462654,14
406,58.465393,14
407,58.47983,14
408,58.547638,14
409,58.683533,14
410,58.47492,14
411,58.48166,14
412,58.56688,14
413,58.67548,14
414,58.498146,14
415,58.66607,14
416,58.856762,14
417,58.918186,14
418,58.959953,14
419,59.05584,14
420,59.209293,14
421,59.219322,14
422,59.28437,14
423,59.332176,14
424,59.464653,14
425,59.49754,14
426,59.23597,14
427,59.418785,14
428,59.085243,14
429,58.733395,14
430,58.897316,14
431,58.58689,14
432,58.78444,14
433,58.557373,14
434,58.55065,14
435,58.45108,14
436,58.608326,14
437,58.7507,14
438,58.605606,14
439,58.68398,14
440,58.931805,14
441,58.86478,14
442,59.02296,14
443,59.060093,14
444,59.013397,14
445,59.087776,14
446,58.758465,14
447,58.709805,14
448,58.512794,14
449,58.596363,14
450,58.434273,14
451,58.44309,14
452,58.212353,15
453,58.36129,15
454,58.412243,15
455,58.316036,15
456,58.505543,15
457,58.35153,15
458,58.566116,15
459,58.621643,15
460,58.82493,15
461,58.848087,15
462,58.860306,15
463,58.993572,15
464,58.748314,15
465,58.87976,15
466,58.846634,15
467,58.70005,15
468,58.69201,15
469,58.958057,15
470,59.05301,15
471,59.26029,15
472,59.367916,15
473,59.62729,15
474,59.6471,15
475,59.645992,15
476,59.768776,15
477,59.773987,15
478,59.499004,15
479,59.638103,15
480,59.520836,15
481,59.57514,12
482,59.22953,12
483,59.350227,12
484,59.1143,12
485,59.24657,12
486,58.87609,12
487,58.624508,12
488,58.553326,12
489,58.563133,12
490,58.50045,12
491,58.59045,12
492,58.70001,12
493,58.865852,12
494,58.833927,12
495,58.830647,12
496,59.074905,12
497,58.962826,12
498,59.071404,12
499,58.739296,12
500,58.609318,12
501,58.738815,12
502,58.333282,12
503,58.155277,12
504,58.14152,12
505,57.971687,12
506,57.780487,12
507,57.810028,12
508,57.96879,12
509,58.13677,12
510,57.76403,12
511,57.88311,12
512,57.548416,12
513,57.66945,12
514,57.558525,12
515,57.37711,12
516,57.307697,10
517,57.086754,10
518,56.993954,10
519,56.988144,10
520,57.23086,10
521,57.1259,10
522,57.33335,10
523,57.439186,10
524,57.400787,10
525,57.547077,10
526,57.695843,10
527,57.73731,10
528,57.608215,10
529,57.352104,10
530,57.053402,10
531,57.13678,10
532,57.288445,10
533,57.424088,10
534,57.551487,10
535,57.61743,10
536,57.79832,10
537,57.79017,10
538,57.790646,10
539,58.079308,10
540,58.044296,10
541,58.208466,10
542,58.32757,10
543,58.1132,10
544,58.298687,10
545,58.25879,10
546,58.079308,11
547,57.97039,11
548,58.17029,11
549,58.265408,11
550,58.314545,11
551,58.28747,11
552,58.445637,11
553,58.5688,11
554,58.422134,11
555,58.234886,11
556,58.11666,11
557,57.956436,11
558,58.069542,11
559,58.04787,11
560,58.08294,11
561,58.057064,11
562,58.172157,11
563,58.0894,11
564,58.078457,11
565,57.808365,11
566,57.76167,11
567,57.993996,11
568,58.209587,11
569,58.430347,11
570,58.283325,11
571,58.1142,11
572,58.12026,11
573,58.04573,11
574,57.884495,11
575,57.753998,11
576,57.915047,11
577,57.9122,11
578,57.873535,11
579,57.7656,11
580,57.821785,11
581,57.860344,11
582,57.907845,11
583,57.947346,11
584,57.955868,11
585,58.045006,11
586,58.20245,12
587,58.259502,12
588,58.400013,12
589,58.47788,12
590,58.535435,12
591,58.609028,12
592,58.708546,12
593,58.56269,12
594,58.789333,12
595,58.886677,12
596,58.900097,12
597,58.976276,12
598,58.953373,12
599,58.852783,12
600,59.019398,12
601,59.005264,12
602,58.99866,12
603,59.055885,12
604,59.192825,12
605,59.051308,12
606,59.182938,12
607,59.32919,12
608,59.25822,12
609,59.255585,12
610,59.34112,12
611,59.074535,12
612,59.15758,12
613,59.282066,12
614,59.231834,12
615,58.8094,12
616,58.56087,12
617,58.552536,12
618,58.558556,12
619,58.482864,12
620,58.573776,12
621,58.75045,12
622,58.712254,12
623,58.83447,12
624,58.889374,12
625,58.586727,12
626,58.236607,12
627,58.30188,12
628,58.40735,12
629,58.410706,12
630,58.693367,12
631,58.495773,12
632,58.44872,12
633,58.22115,12
634,58.222816,12
635,58.290676,12
636,58.292507,12
637,58.228992,12
638,58.164246,12
639,58.09764,12
640,58.121723,13
641,57.929295,13
642,58.24819,13
643,57.990376,13
644,58.006847,13
645,58.268208,13
646,58.283596,13
647,58.19074,14
648,57.99084,14
649,58.16991,14
650,58.2637,14
651,58.21922,14
652,58.356968,14
653,58.06314,14
654,57.877426,14
655,57.89699,14
656,57.769844,14
657,57.683388,14
658,57.618256,14
659,57.47064,14
660,57.398598,14
661,57.49206,14
662,57.71656,14
663,57.701195,14
664,57.729366,14
665,57.965664,14
666,58.00001,14
667,57.816643,14
668,57.636482,14
669,57.83428,14
670,57.770546,14
671,57.56321,14
672,57.509293,14
673,57.535965,14
674,57.532635,14
675,57.475826,14
676,57.667233,14
677,57.60507,14
678,57.795,14
679,57.80046,14
680,57.619915,14
681,57.919586,14
682,57.89828,14
683,57.777187,14
684,58.00607,14
685,58.115616,14
686,57.991943,14
687,58.01937,14
688,58.20135,14
689,57.964703,14
690,57.939865,14
691,57.904377,14
692,58.047535,14
693,57.883953,14
694,57.943317,14
695,58.208897,14
696,57.95237,14
697,58.197727,14
698,58.344284,14
699,58.194004,14
700,58.18725,14
701,57.897606,12
702,58.015636,12
703,57.952595,12
704,57.735462,12
705,57.75371,13
706,57.405125,13
707,57.161777,13
708,57.366932,13
709,57.450085,13
710,57.649323,13
711,57.472614,13
712,57.591366,13
713,57.50654,13
714,57.54128,13
715,57.474792,13
716,57.482613,14
717,57.69124,14
718,57.491932,14
719,57.750397,14
720,57.59013,14
721,57.65634,14
722,57.474724,14
723,57.415215,14
724,57.230465,14
725,56.99214,14
726,57.141678,14
727,57.485996,14
728,57.273365,14
729,57.11605,14
730,57.24987,14
731,57.21016,14
732,57.296635,14
733,57.496025,15
734,57.553852,15
735,57.74079,15
736,57.79457,15
737,57.626266,15
738,57.641945,15
739,57.853363,15
740,57.710823,15
741,57.396374,15
742,57.41553,15
743,57.367134,15
744,57.524483,15
745,57.61756,15
746,57.83914,15
747,57.776516,15
748,57.99542,15
749,57.94598,15
750,57.597336,15
751,57.59354,15
752,57.61602,15
753,57.528484,15
754,57.371277,15
755,57.393394,15
756,57.484848,15
757,57.48856,15
758,57.61806,15
759,57.623096,12
760,57.744877,12
